Ticket Numbers,Audit Result
Round 1: 0.000318169865031537,Reject
Round 1: 0.000338995615046958,Reject
Round 1: 0.000497616530256104,Reject
Round 1: 0.000629060524114165,Reject
Round 1: 0.000688720156842591,Approve
Round 1: 0.000895100222522142,Approve
Round 1: 0.001065908904915372,Reject
Round 1: 0.001090775496304132,Approve
Round 1: 0.001399694666940511,Reject
Round 1: 0.001441333907197474,Approve
Round 1: 0.001477832632898088,Approve
Round 1: 0.001848622713471160,Reject
Round 1: 0.002044004867429107,Approve
Round 1: 0.002371472655505919,Approve
Round 1: 0.002637973281228793,Approve
Round 1: 0.002825911661797528,Approve
Round 1: 0.002977535070871853,Reject
Round 1: 0.003312720397989914,Approve
Round 1: 0.003343820124093464,Reject
Round 1: 0.003394480810163145,Approve
Round 1: 0.003589569627696144,Approve
Round 1: 0.003974562955770114,Reject
Round 1: 0.004402305089670229,Approve
Round 1: 0.004875866341985629,Reject
Round 1: 0.005534807087042947,Approve
Round 1: 0.005553077138149984,Approve
Round 1: 0.005628096074495037,Reject
Round 1: 0.006025929749616950,Reject
Round 1: 0.006179534676735904,Approve
Round 1: 0.006676429231065631,Approve
Round 1: 0.006732229634294439,Reject
Round 1: 0.006870050035418897,Reject
Round 1: 0.007069646693428608,Approve
Round 1: 0.007129423153489691,Approve
Round 1: 0.007144596410488189,Approve
Round 1: 0.007498597181447164,Approve
Round 1: 0.007553270331713886,Approve
Round 1: 0.007754606880279235,Approve
Round 1: 0.007811323198708875,Reject
Round 1: 0.007891762712298514,Approve
Round 1: 0.008225203719384419,Approve
Round 1: 0.008424719074477893,Approve
Round 1: 0.008437130754871939,Approve
Round 1: 0.008534492294512496,Approve
Round 1: 0.008562817353133124,Reject
Round 1: 0.008625227193851873,Reject
Round 1: 0.008928740374882855,Reject
Round 1: 0.008956114449407942,Approve
Round 1: 0.009077871465893713,Reject
Round 1: 0.009081806122831851,Reject
Round 1: 0.009157993668574910,Approve
Round 1: 0.009437362704378708,Reject
Round 1: 0.009905247116966450,Approve
Round 1: 0.010035627275254682,Approve
Round 1: 0.010957068395834574,Reject
Round 1: 0.011011184850861206,Approve
Round 1: 0.011141425799323590,Approve
Round 1: 0.011262729762018515,Reject
Round 1: 0.011442231545855290,Approve
Round 1: 0.011589279362823613,Approve
Round 1: 0.011725973807271952,Approve
Round 1: 0.012037800731458386,Approve
Round 1: 0.012394860776108622,Approve
Round 1: 0.013035921076485946,Approve
Round 1: 0.013058039390679597,Approve
Round 1: 0.013339193560331016,Reject
Round 1: 0.013352157248726924,Approve
Round 1: 0.013395417979403212,Approve
Round 1: 0.013731815662294206,Reject
Round 1: 0.014319999145425801,Approve
Round 1: 0.014465847708477086,Reject
Round 1: 0.015564300051710452,Reject
Round 1: 0.015814754699172040,Reject
Round 1: 0.015851917701398869,Approve
Round 1: 0.015905602059190952,Approve
Round 1: 0.016072598986233414,Approve
Round 1: 0.016146650852383445,Approve
Round 1: 0.016844338600262053,Approve
Round 1: 0.016849005330607321,Reject
Round 1: 0.016926194968214625,Reject
Round 1: 0.016999615051171755,Approve
Round 1: 0.017009502821876328,Approve
Round 1: 0.017095249595811807,Reject
Round 1: 0.018009423998146988,Reject
Round 1: 0.018081047753482846,Reject
Round 1: 0.018179516890641931,Approve
Round 1: 0.018198392439212359,Reject
Round 1: 0.018506416189082414,Approve
Round 1: 0.018516271577583409,Reject
Round 1: 0.018545248058389251,Reject
Round 1: 0.018987624989386455,Approve
Round 1: 0.019066610258585938,Approve
Round 1: 0.019135847731918767,Approve
Round 1: 0.019256684152412144,Approve
Round 1: 0.020214895274671326,Approve
Round 1: 0.020424104116336775,Approve
Round 1: 0.020649543412322918,Reject
Round 1: 0.020665543560966386,Reject
Round 1: 0.021331412476179250,Approve
Round 1: 0.021546036974647925,Reject
Round 1: 0.021907964602172098,Approve
Round 1: 0.022085898898688930,Approve
Round 1: 0.022087995956743554,Reject
Round 1: 0.022353295568951633,Approve
Round 1: 0.022559915135328978,Approve
Round 1: 0.022684539207877535,Approve
Round 1: 0.022993116749776253,Approve
Round 1: 0.023311118431049257,Reject
Round 1: 0.023555613345339320,Reject
Round 1: 0.023757764739089555,Approve
Round 1: 0.023932535566748852,Reject
Round 1: 0.024179252746312900,Reject
Round 1: 0.024186555319461681,Approve
Round 1: 0.024599589901934789,Reject
Round 1: 0.024758239765491407,Reject
Round 1: 0.024802085043368521,Reject
Round 1: 0.024929869793965177,Approve
Round 1: 0.024953928515307650,Reject
Round 1: 0.025068841779352019,Reject
Round 1: 0.025078616638017291,Reject
Round 1: 0.025782648768550477,Approve
Round 1: 0.025845595594353066,Reject
Round 1: 0.025881158253043783,Approve
Round 1: 0.025990068959892134,Approve
Round 1: 0.026013127219522555,Approve
Round 1: 0.026171331512264204,Approve
Round 1: 0.026545780059153781,Reject
Round 1: 0.026896846766755916,Reject
Round 1: 0.027221686600728144,Approve
Round 1: 0.027261420823726376,Reject
Round 1: 0.027342354267692805,Approve
Round 1: 0.027440798280991432,Approve
Round 1: 0.027867097848419358,Approve
Round 1: 0.028705354120752492,Reject
Round 1: 0.029034671907409537,Reject
Round 1: 0.029081361260902452,Approve
Round 1: 0.029084113200929725,Reject
Round 1: 0.029101891493840479,Approve
Round 1: 0.029216047995006817,Approve
Round 1: 0.029736798389192061,Reject
